onsite              nnhop               ospair              nnpair              
1.14771             1.97109             0.0420284           0.0981706           
1.14783             1.97128             0.0419552           0.0979075           
1.14784             1.97115             0.0418779           0.0976317           
1.14785             1.97102             0.0417985           0.0973562           
1.14762             1.97023             0.0417133           0.0970593           
1.1478              1.97058             0.0416421           0.0968034           
1.14772             1.97021             0.0415623           0.0965222           
1.14762             1.96977             0.0414807           0.0962425           
1.1478              1.97012             0.0414125           0.0959967           
1.14783             1.97007             0.0413378           0.0957313           
1.10159             1.84378             0.0395293           0.0906063           
1.10149             1.84355             0.0394602           0.090368            
1.10142             1.84339             0.0393939           0.090135            
1.10145             1.84349             0.0393314           0.0899149           
1.10132             1.84318             0.0392622           0.0896775           
1.10116             1.84275             0.0391908           0.0894371           
1.10117             1.8428              0.0391295           0.089218            
1.1012              1.8429              0.0390689           0.0890027           
1.1012              1.84293             0.0390068           0.0887842           
1.1012              1.84296             0.0389456           0.0885672           
1.10105             1.84256             0.038876            0.0883318           
1.10077             1.84185             0.0388              0.0880804           
1.10079             1.84191             0.0387396           0.0878672           
1.10076             1.84185             0.0386777           0.0876502           
1.10078             1.84194             0.0386178           0.0874403           
1.10097             1.84244             0.0385648           0.0872535           
1.10129             1.84333             0.0385199           0.0870839           
1.10127             1.84329             0.0384588           0.0868737           
1.10136             1.84354             0.0384041           0.0866772           
1.10108             1.84282             0.038331            0.0864352           
1.09884             1.83686             0.0381645           0.0859612           
1.09889             1.83703             0.038109            0.0857642           
1.09891             1.8371              0.0380512           0.0855623           
1.09871             1.83659             0.0379831           0.0853337           
1.09856             1.83622             0.0379171           0.0851137           
1.09857             1.83626             0.0378581           0.0849129           
1.09852             1.83614             0.0377972           0.0847091           
1.09858             1.83632             0.0377418           0.0845177           
1.09856             1.8363              0.0376831           0.0843195           
1.09855             1.83627             0.0376251           0.0841219           
1.09843             1.83598             0.0375625           0.0839098           
1.09852             1.83625             0.0375098           0.0837283           
1.09842             1.836               0.0374478           0.0835221           
1.09295             1.82145             0.0371295           0.08269             
1.09284             1.82121             0.0370691           0.0824868           
1.09287             1.82131             0.0370155           0.0823011           
1.09283             1.82123             0.036958            0.082108            
1.09265             1.82077             0.036894            0.0818977           
1.0927              1.82094             0.0368421           0.0817173           
1.09264             1.82081             0.0367856           0.0815236           
1.09267             1.82092             0.0367337           0.0813414           
1.09265             1.82088             0.0366788           0.0811548           
1.09267             1.82097             0.036627            0.0809719           
1.09268             1.82101             0.0365746           0.080788            
1.09266             1.82098             0.036522            0.0806032           
1.09256             1.82075             0.0364639           0.0804104           
1.0925              1.82061             0.0364081           0.0802235           
1.09251             1.82068             0.036356            0.0800483           
1.09258             1.82088             0.0363071           0.0798779           
1.09257             1.82088             0.036254            0.0796985           
1.0928              1.82152             0.0362124           0.0795477           
1.0928              1.82153             0.0361601           0.0793699           
1.09276             1.82145             0.0361073           0.0791887           
1.09278             1.82152             0.0360563           0.079016            
1.09269             1.82131             0.0360004           0.0788318           
1.09275             1.82149             0.0359523           0.0786641           
1.09274             1.8215              0.0359006           0.0784925           
1.09273             1.8215              0.0358493           0.0783211           
1.09253             1.82099             0.035789            0.0781288           
1.09192             1.81939             0.0357104           0.0778901           
1.0912              1.81748             0.0356259           0.0776418           
1.09122             1.81756             0.035577            0.0774742           
1.0912              1.81754             0.035526            0.0773046           
1.09121             1.8176              0.0354768           0.0771387           
1.09123             1.81767             0.0354291           0.0769745           
1.09122             1.81765             0.0353788           0.0768067           
1.09122             1.81767             0.0353304           0.076642            
1.09122             1.81772             0.0352818           0.0764788           
1.09129             1.8179              0.0352363           0.0763223           
1.09143             1.81832             0.0351943           0.0761775           
1.09142             1.8183              0.0351448           0.076014            
1.0818              1.79276             0.0346516           0.0748099           
1.08329             1.79672             0.0346778           0.0748205           
1.0828              1.79547             0.0346077           0.0746096           
1.08274             1.79536             0.0345584           0.0744477           
1.08222             1.79401             0.0344868           0.0742303           
1.08206             1.79363             0.0344332           0.0740582           
1.08212             1.79382             0.0343904           0.0739104           
1.08209             1.79377             0.034344            0.0737535           
1.08214             1.79395             0.0343012           0.0736068           
1.08165             1.79269             0.0342334           0.0733996           
1.08149             1.79231             0.0341805           0.0732302           
1.08185             1.79329             0.0341522           0.0731211           
1.0818              1.79318             0.034104            0.0729637           
1.08177             1.79314             0.0340574           0.0728102           
1.08162             1.79279             0.0340048           0.0726426           
1.08158             1.7927              0.0339589           0.0724878           
1.08155             1.79267             0.0339132           0.0723359           
1.08161             1.79286             0.0338716           0.0721954           
1.08164             1.79295             0.0338288           0.0720503           
1.08163             1.79298             0.0337849           0.0719021           
1.08163             1.79299             0.0337403           0.0717572           
1.08168             1.79317             0.033699            0.0716175           
